date,601857,00857,spread,rolling_mean,rolling_std,zscore,cheap_leg,pair_direction
2021-08-18,3.58,2.064664,-0.11858290373232616,-0.07702516378395738,0.024758692736127335,-1.678511074525702,a,long_a_short_h
2021-08-19,3.5,1.9563800000000002,-0.10030584938576437,-0.07773315706315746,0.02418829366513641,-0.9332073041242203,a,long_a_short_h
2021-08-20,3.47,1.8989719999999999,-0.08631529744280614,-0.07826899229224955,0.02364983452183096,-0.3402266998159801,a,long_a_short_h
2021-08-23,3.49,1.9563800000000002,-0.10316708166679656,-0.07879335826447936,0.0234967192826609,-1.037324534932137,a,long_a_short_h
2021-08-24,3.55,1.9754240000000003,-0.09347171700019885,-0.07919553846760435,0.023329501437798685,-0.6119367175787175,a,long_a_short_h
2021-08-25,3.63,2.0009080000000004,-0.0809127610336472,-0.07946000638898917,0.023165649458327126,-0.06271158713988978,a,long_a_short_h
2021-08-26,3.66,2.0009080000000004,-0.07268226189713156,-0.07975693305542939,0.022843617033325613,0.3097001297113709,h,short_a_long_h
2021-08-27,3.73,2.020044,-0.06095943167125706,-0.07991279597995844,0.022648570512169498,0.8368459412711009,h,short_a_long_h
2021-08-30,3.83,2.102936,-0.06501743128395943,-0.08010932443786732,0.022412967509529206,0.6733554201375321,h,short_a_long_h
2021-08-31,3.89,2.1730400000000003,-0.0743555636721761,-0.080275466685082,0.022294508311726666,0.26553189377996217,h,short_a_long_h
2021-09-01,3.89,2.179388,-0.07656892826122619,-0.08042006559558461,0.022212900300993033,0.1733739080522616,h,short_a_long_h
2021-09-02,3.91,2.192084,-0.07584816561546548,-0.08053319090377137,0.022154195137773825,0.2114735046419143,h,short_a_long_h
2021-09-03,3.98,2.243144,-0.07557526787082547,-0.08055876942143778,0.02214661977383916,0.22502312323522622,h,short_a_long_h
2021-09-06,3.95,2.243144,-0.08314150825414113,-0.08074382500097,0.02207392502148693,-0.10862061236672729,a,long_a_short_h
2021-09-07,4.04,2.25584,-0.06489493043009598,-0.08062825811165657,0.022120636145367113,0.7112511402551024,h,short_a_long_h
2021-09-08,4.07,2.236704,-0.05103251237772677,-0.0803259177313509,0.0222758925188367,1.3150272353331454,h,short_a_long_h
2021-09-09,4.15,2.234404,-0.03078652098033363,-0.07987905041988332,0.02272656896269871,2.1601381854043002,h,short_a_long_h
2021-09-10,4.09,2.2744240000000002,-0.05882002636630024,-0.07974436959428204,0.022803592801157863,0.917589759229491,h,short_a_long_h
2021-09-13,4.33,2.38786,-0.03872795763616077,-0.07943261847296419,0.023107010045176166,1.7615719540183847,h,short_a_long_h
2021-09-14,4.5,2.48124,-0.029325659795010117,-0.079012209534057,0.023555319600973842,2.1093557880230462,h,short_a_long_h
2021-09-15,4.72,2.5145440000000003,0.008288865190371086,-0.07820884900370703,0.024850595232700216,3.480709954192894,h,short_a_long_h
2021-09-16,4.69,2.5346,-0.004115392640190896,-0.07770267514262634,0.025727972715316603,2.860205244956079,h,short_a_long_h
2021-09-17,4.59,2.5346,-0.02566795102592523,-0.07738439838325578,0.026133685086089594,1.9789190535879733,h,short_a_long_h
2021-09-23,4.83,2.5278840000000002,0.027311728185670625,-0.07670575517934893,0.02775014630659061,3.748358016415776,h,short_a_long_h
2021-09-24,4.81,2.5346,0.02114910901929079,-0.07604635775393599,0.029105876651387218,3.3393760283318707,h,short_a_long_h
2021-09-27,5.0,2.567904,0.04998466231202259,-0.07519451653816146,0.03122713173267905,4.008667203948949,h,short_a_long_h
2021-09-28,5.23,2.6212640000000005,0.0793524188372533,-0.07400990929314474,0.03425113186344773,4.477584236977112,h,short_a_long_h
2021-09-29,4.87,2.447844,0.0599729895728468,-0.07291976523158354,0.036369075704094964,3.6540041843699465,h,short_a_long_h
2021-09-30,4.84,2.461184,0.04966986759666503,-0.07184947827116996,0.03804674757255943,3.193948329908724,h,short_a_long_h
2021-10-08,5.06,2.70802,0.021600832519750757,-0.07116852551577389,0.03897840695697686,2.380019228028497,h,short_a_long_h
2021-10-11,4.96,2.741324,-0.007634717610672914,-0.07072861051197427,0.03939633955665494,1.6015166284818803,h,short_a_long_h
2021-10-12,4.83,2.687964,-0.01927861309663359,-0.0704061107708607,0.03965911206061346,1.2891740388964283,h,short_a_long_h
2021-10-15,4.79,2.687964,-0.027594669338291133,-0.07015041136503909,0.039836480077728116,1.0682605979171371,h,short_a_long_h
2021-10-18,4.84,2.727984,-0.028424289753300247,-0.07001886607354799,0.039948764008933615,1.0411980783922645,h,short_a_long_h
2021-10-19,4.8,2.727984,-0.03672309256799533,-0.07000474665498571,0.039960324771799206,0.8328674573355296,h,short_a_long_h
2021-10-20,4.71,2.70802,-0.05007774275129706,-0.06997975166013991,0.0399719382521068,0.4978995209919267,h,short_a_long_h
2021-10-21,4.74,2.701304,-0.041844366079134665,-0.06979479465544976,0.04005092877818632,0.697872169984189,h,short_a_long_h
2021-10-22,4.59,2.6013,-0.045377696684977376,-0.06962179535506494,0.040111648684888195,0.604415412104997,h,short_a_long_h
2021-10-25,4.76,2.6346040000000004,-0.01866295472967272,-0.06925665815526823,0.04037577376409567,1.253070807291529,h,short_a_long_h
2021-10-26,4.71,2.64132,-0.03115450407550946,-0.06894806461436685,0.04052526646222556,0.9325925240759503,h,short_a_long_h
2021-10-27,4.68,2.5879600000000003,-0.02205840663436709,-0.06858073789689363,0.040750101233456855,1.1416494647706676,h,short_a_long_h
2021-10-28,4.39,2.49458,-0.058142378342705636,-0.068597580345466,0.040745325725143264,0.25659880775744115,h,short_a_long_h
2021-10-29,4.42,2.50792,-0.05537875916828949,-0.0685099027677909,0.04076249561734138,0.32213787209620914,h,short_a_long_h
2021-11-01,4.33,2.5012040000000004,-0.07391623148270354,-0.06857670412606925,0.040764751053925685,-0.1309839314257283,a,long_a_short_h
2021-11-02,4.25,2.461184,-0.08032587019554993,-0.06872013496970254,0.04077564784601343,-0.2846241773932247,a,long_a_short_h
2021-11-03,4.17,2.41454,-0.08481046773670209,-0.06887247884017643,0.04080153595338496,-0.3906222774244218,a,long_a_short_h
2021-11-04,4.09,2.41454,-0.10418153349270187,-0.06916836014522693,0.0409286384666878,-0.8554688027546407,a,long_a_short_h
2021-11-05,3.95,2.2944800000000005,-0.10031107660797323,-0.06943979962019915,0.04102696822280042,-0.7524630340737096,a,long_a_short_h
2021-11-08,3.97,2.341124,-0.11053099700257174,-0.06971453575424885,0.04119187430052913,-0.9908862352446676,a,long_a_short_h
2021-11-09,3.91,2.341124,-0.12575971770439642,-0.06995822294736088,0.04143753435637062,-1.346641290891783,a,long_a_short_h
2021-11-10,3.91,2.34784,-0.1279333266514493,-0.07021402125006714,0.041701252553233134,-1.3841144298412,a,long_a_short_h
2021-11-11,3.88,2.354464,-0.13777329859112586,-0.07053304357398565,0.04207189374825394,-1.5982226856600863,a,long_a_short_h
2021-11-12,3.88,2.367804,-0.14206030054219299,-0.07104355705431584,0.042566285949152724,-1.6683800783725817,a,long_a_short_h
2021-11-15,3.88,2.36118,-0.1399346097554478,-0.07174839218952936,0.04300234187712422,-1.5856396323892115,a,long_a_short_h
2021-11-16,3.84,2.38786,-0.15882313305092377,-0.0726509069036635,0.04368418433866199,-1.972618407595971,a,long_a_short_h
2021-11-17,3.89,2.42788,-0.15849797657079157,-0.0734994668734951,0.04435500368131455,-1.9163229093159522,a,long_a_short_h
2021-11-18,3.84,2.36118,-0.1502973967909943,-0.07422169265647267,0.044895258519625676,-1.6945153373215485,a,long_a_short_h
2021-11-19,3.89,2.36118,-0.13736060576027487,-0.07492456778822434,0.0452195450983751,-1.3807312266459326,a,long_a_short_h
2021-11-22,3.91,2.3211600000000003,-0.1192614317578854,-0.07538816052925935,0.04538763674144489,-0.9666348454878676,a,long_a_short_h
2021-11-23,3.92,2.3345000000000002,-0.12105548788826825,-0.07595577519166485,0.04553025319942036,-0.9905438588067759,a,long_a_short_h
2021-11-24,3.99,2.3811440000000004,-0.11836714035241214,-0.07634237407155274,0.04569283775954415,-0.9197232726496927,a,long_a_short_h
2021-11-25,3.92,2.354464,-0.12751679842393682,-0.07690930489973953,0.04590348845228229,-1.1024759823385737,a,long_a_short_h
2021-11-26,3.84,2.2744240000000002,-0.12189262982137505,-0.0774208231073926,0.04606094599833939,-0.965499204371221,a,long_a_short_h
2021-11-29,3.82,2.2744240000000002,-0.1271145738025269,-0.07790670082476613,0.04627635830092539,-1.0633479985130279,a,long_a_short_h
2021-11-30,3.8,2.2610840000000003,-0.12790039954922916,-0.07840510442500945,0.046491337528577724,-1.064613275404165,a,long_a_short_h
2021-12-01,3.92,2.287764,-0.10571076956704273,-0.07862600089685895,0.04655808681814546,-0.5817414443161314,a,long_a_short_h
2021-12-02,3.94,2.2944800000000005,-0.10284593221116134,-0.07882700533949456,0.04661055757260835,-0.5153108678060954,a,long_a_short_h
2021-12-03,3.96,2.341124,-0.11305306643528168,-0.07890240965877772,0.04665892490220667,-0.7319212101024825,a,long_a_short_h
2021-12-06,3.94,2.341124,-0.11811636839182837,-0.07908822136591905,0.04677112151602579,-0.8344496723803515,a,long_a_short_h
2021-12-07,4.0,2.34784,-0.10517633952883321,-0.07903771674859526,0.04673937625504456,-0.5592420112242472,a,long_a_short_h
2021-12-08,4.04,2.367804,-0.10165076220431635,-0.07908631507084068,0.046759998885603386,-0.4825587611470811,a,long_a_short_h
2021-12-09,4.09,2.38786,-0.09575052959584895,-0.07905911831097745,0.046749258839820125,-0.35704119592702677,a,long_a_short_h
