date,a_close,h_close_hkd,fx_rate,h_close_cny,ah_premium_pct
2018-04-10,5.43,3.1072,0.92,2.8586240000000003,0.8995152912730038
2018-04-11,5.5,3.2237,0.92,2.9658040000000003,0.8544718396765261
2018-04-12,5.53,3.317,0.92,3.0516400000000004,0.8121403573160659
2018-04-13,5.45,3.3229,0.92,3.057068,0.7827539328533091
2018-04-16,5.4,3.2587,0.92,2.9980040000000003,0.8011983973336927
2018-04-17,5.38,3.2179,0.92,2.960468,0.8172802408267881
2018-04-18,5.47,3.2762,0.92,3.014104,0.8148013472660531
2018-04-19,5.55,3.4628,0.92,3.185776,0.7421187177001771
2018-04-20,5.47,3.422,0.92,3.1482400000000004,0.7374787182679843
2018-04-23,5.42,3.3928,0.92,3.121376,0.7364136842213176
2018-04-24,5.52,3.4161,0.92,3.142812,0.7563888644945989
2018-04-25,5.47,3.3578,0.92,3.089176,0.7706987235431064
2018-04-26,5.4,3.2762,0.92,3.014104,0.7915771983979318
2018-04-27,5.48,3.3462,0.92,3.078504,0.780085392125526
2018-05-02,5.45,3.3229,0.92,3.057068,0.7827539328533091
2018-05-03,5.51,3.2646,0.92,3.003432,0.8345679209650825
2018-05-04,5.51,3.2412,0.92,2.981904,0.8478126727084438
2018-05-07,5.61,3.3287,0.92,3.062404,0.8318941589679221
2018-05-08,5.61,3.3229,0.92,3.057068,0.8350916629921219
2018-05-09,5.65,3.4686,0.92,3.191112,0.7705426823000887
2018-05-10,5.73,3.5269,0.92,3.244748,0.7659306670348516
2018-05-11,5.71,3.5152,0.92,3.2339840000000004,0.7656240723516254
2018-05-14,5.72,3.5677,0.92,3.282284,0.7426889324628825
2018-05-15,5.73,3.5852,0.92,3.298384,0.7372143449640796
2018-05-16,5.65,3.5794,0.92,3.293048,0.7157356953193517
2018-05-17,5.66,3.5677,0.92,3.282284,0.7244089786258592
2018-05-18,6.08,3.795,0.92,3.4914,0.7414217792289626
2018-05-21,6.1,3.7542,0.92,3.4538640000000003,0.7661378676172539
2018-05-23,5.9,3.5852,0.92,3.298384,0.7887547356523681
2018-05-24,5.9,3.6376,0.92,3.3465920000000002,0.7629875407578814
2018-05-25,5.82,3.5269,0.92,3.244748,0.7936677979306868
2018-05-28,5.82,3.7542,0.92,3.4538640000000003,0.6850692441856425
2018-05-29,5.76,3.7251,0.92,3.427092,0.6807252329380127
2018-05-30,5.59,3.661,0.92,3.3681200000000002,0.6596795838628076
2018-05-31,5.71,3.7834,0.92,3.480728,0.6404614207142874
2018-06-01,5.73,3.7776,0.92,3.4753920000000003,0.6487348765261587
2018-06-04,5.7,3.7717,0.92,3.469964,0.6426683389222483
2018-06-05,5.71,3.7134,0.92,3.416328,0.6713851831557156
2018-06-06,5.71,3.8242,0.92,3.518264,0.6229595050286165
2018-06-07,5.68,3.8417,0.92,3.534364,0.6070783880777417
2018-06-08,5.66,3.8184,0.92,3.512928,0.6111915758022937
2018-06-11,5.56,3.8184,0.92,3.512928,0.5827252935443026
2018-06-12,5.6,3.8067,0.92,3.5021640000000005,0.5990113541227648
2018-06-13,5.57,3.6979,0.92,3.4020680000000003,0.6372394672887196
2018-06-14,5.54,3.6094,0.92,3.3206480000000003,0.6683490692178151
2018-06-15,5.55,3.5622,0.92,3.277224,0.6935064554635264
2018-06-19,5.3,3.4384,0.92,3.1633280000000004,0.6754506646165048
2018-06-20,5.31,3.4502,0.92,3.1741840000000003,0.6728708858717702
2018-06-21,5.25,3.403,0.92,3.13076,0.6769091211079739
2018-06-22,5.27,3.3676,0.92,3.098192,0.7009920624674002
2018-06-25,5.27,3.3794,0.92,3.109048,0.6950526334749414
2018-06-26,5.29,3.3617,0.92,3.092764,0.7104441205342535
2018-06-27,5.42,3.3735,0.92,3.1036200000000003,0.7463478131987806
2018-06-28,5.56,3.4561,0.92,3.179612,0.7486410291570165
2018-06-29,5.56,3.5209,0.92,3.239228,0.7164583660057271
2018-07-03,5.43,3.4678,0.92,3.190376,0.7019937461916712
2018-07-04,5.4,3.4089,0.92,3.136188,0.7218355532257632
2018-07-05,5.36,3.3558,0.92,3.087336,0.7361246071046366
2018-07-06,5.38,3.3381,0.92,3.071052,0.7518426910387712
2018-07-09,5.49,3.3794,0.92,3.109048,0.7658138439805369
2018-07-10,5.6,3.4561,0.92,3.179612,0.7612211804459159
2018-07-11,5.48,3.403,0.92,3.13076,0.7503737111755613
2018-07-12,5.51,3.3912,0.92,3.119904,0.7660799819481625
2018-07-13,5.48,3.3912,0.92,3.119904,0.7564643014656862
2018-07-16,5.4,3.3735,0.92,3.1036200000000003,0.7399037253271985
2018-07-17,5.27,3.2791,0.92,3.0167720000000005,0.746900329226073
2018-07-18,5.25,3.2496,0.92,2.9896320000000003,0.7560689743754414
2018-07-19,5.22,3.2555,0.92,2.99506,0.7428699258111688
2018-07-20,5.31,3.3263,0.92,3.060196,0.7351829752081238
2018-07-23,5.38,3.2968,0.92,3.033056,0.7737885485793865
2018-07-24,5.46,3.3145,0.92,3.04934,0.7905513980074377
2018-07-25,5.47,3.3971,0.92,3.125332,0.7502140572585567
2018-07-26,5.47,3.4325,0.92,3.1579,0.7321637797270337
2018-07-27,5.47,3.4737,0.92,3.1958040000000003,0.7116193608869628
2018-07-30,5.48,3.4914,0.92,3.212088,0.7060553758178483
2018-07-31,5.58,3.5327,0.92,3.250084,0.7168787022120042
2018-08-01,5.47,3.462,0.92,3.1850400000000003,0.7174038630598043
2018-08-02,5.45,3.3558,0.92,3.087336,0.7652759531194531
2018-08-03,5.49,3.3499,0.92,3.081908,0.7813640121638934
2018-08-06,5.48,3.3617,0.92,3.092764,0.7718778413095861
2018-08-07,5.73,3.4678,0.92,3.190376,0.79602654984867
2018-08-08,5.82,3.5799,0.92,3.293508,0.767112756367982
2018-08-09,5.82,3.5504,0.92,3.266368,0.7817955600838609
2018-08-10,5.79,3.4973,0.92,3.2175160000000003,0.7995248508476724
2018-08-13,5.77,3.4266,0.92,3.1524720000000004,0.8303096744396141
2018-08-14,5.85,3.462,0.92,3.1850400000000003,0.8367116268555495
2018-08-15,5.83,3.4207,0.92,3.147044,0.8525320904315288
2018-08-16,5.73,3.3853,0.92,3.1144760000000002,0.8397958436667998
2018-08-17,5.77,3.3676,0.92,3.098192,0.8623765086218025
2018-08-20,5.9,3.3971,0.92,3.125332,0.8877994401874745
2018-08-21,5.9,3.4148,0.92,3.1416160000000004,0.8780143722211753
2018-08-22,5.77,3.4561,0.92,3.179612,0.8146868234237383
2018-08-23,5.82,3.4207,0.92,3.147044,0.8493545053707543
2018-08-24,5.87,3.4207,0.92,3.147044,0.8652424306746267
