date,a_close,h_close_hkd,fx_rate,h_close_cny,ah_premium_pct
2019-04-01,5.6,8.0695,0.92,7.42394,-0.2456835588649693
2019-04-02,5.58,7.9399,0.92,7.304708,-0.23610909566816352
2019-04-03,5.63,7.9075,0.92,7.2749,-0.2261062007725192
2019-04-04,5.63,7.7778,0.92,7.155576,-0.21320100576110157
2019-04-08,5.66,8.0479,0.92,7.4040680000000005,-0.2355553730732889
2019-04-09,5.63,8.1235,0.92,7.47362,-0.2466836686906747
2019-04-10,5.6,8.0587,0.92,7.414004,-0.2446726492189646
2019-04-11,5.55,7.8751,0.92,7.2450920000000005,-0.23396417878475528
2019-04-12,5.57,7.9507,0.92,7.314644,-0.23851386342247138
2019-04-15,5.55,7.9615,0.92,7.32458,-0.24227737290056228
2019-04-16,5.63,8.0479,0.92,7.4040680000000005,-0.2396071997177769
2019-04-17,5.6,8.0155,0.92,7.37426,-0.24060176885545126
2019-04-18,5.59,7.9615,0.92,7.32458,-0.2368163089214672
2019-04-23,5.61,8.0803,0.92,7.433876,-0.2453465729049018
2019-04-24,5.58,7.9507,0.92,7.314644,-0.23714674289001625
2019-04-25,5.47,7.9183,0.92,7.284836,-0.24912516904979065
2019-04-26,5.41,7.7886,0.92,7.165512,-0.24499463541474775
2019-04-29,5.39,7.9291,0.92,7.294772,-0.2611146722611756
2019-04-30,5.4,7.659,0.92,7.04628,-0.23363817503704076
2019-05-06,5.35,7.2809,0.92,6.698428,-0.20130514204228223
2019-05-07,5.31,7.5078,0.92,6.907176,-0.23123429893780034
2019-05-08,5.28,7.3781,0.92,6.787852,-0.22213978737308937
2019-05-09,5.25,7.2053,0.92,6.628876000000001,-0.20801052848175172
2019-05-10,5.31,7.2269,0.92,6.648748,-0.2013533976622367
2019-05-14,5.26,7.1189,0.92,6.549388,-0.19687152448442524
2019-05-15,5.3,7.2161,0.92,6.638812000000001,-0.20166439417172843
2019-05-16,5.31,7.3349,0.92,6.748108,-0.2131127717576542
2019-05-17,5.25,7.2269,0.92,6.648748,-0.21037765305588363
2019-05-20,5.27,7.3781,0.92,6.787852,-0.2236130074727617
2019-05-21,5.27,7.2269,0.92,6.648748,-0.20736956792466799
2019-05-22,5.24,7.2053,0.92,6.628876000000001,-0.2095190798560722
2019-05-23,5.25,7.0865,0.92,6.51958,-0.19473340307197706
2019-05-24,5.22,7.0865,0.92,6.51958,-0.19933492648299433
