date,capital,spread,zscore,cheap_leg,position,gross_exposure,returns
2019-01-04,97105.996612,0.15827315910906936,-0.6384010837694065,a,flat,0.0,0.0
2019-01-07,97105.996612,0.14176718970837476,-1.162931128581561,a,flat,0.0,0.0
2019-01-08,97105.996612,0.1396499904090196,-1.2210645009833507,a,flat,0.0,0.0
2019-01-09,97105.996612,0.12127339957432604,-1.7728287522892066,a,flat,0.0,0.0
2019-01-10,97105.996612,0.11854651406063965,-1.8208598394848157,a,flat,0.0,0.0
2019-01-11,97105.996612,0.12227091315162197,-1.6821175451849109,a,flat,0.0,0.0
2019-01-14,97105.996612,0.152506794454903,-0.7480609610696862,a,flat,0.0,0.0
2019-01-15,97105.996612,0.12314430751013772,-1.6287403295346603,a,flat,0.0,0.0
2019-01-16,97105.996612,0.12444344529572837,-1.581765958743185,a,flat,0.0,0.0
2019-01-17,97105.996612,0.123302545661933,-1.604961826225249,a,flat,0.0,0.0
2019-01-18,97105.996612,0.11213153009442989,-1.9125953161126923,a,flat,0.0,0.0
2019-01-21,97013.824504,0.10501891042316003,-2.0838004836616233,a,long_a_short_h,91200.35399999999,-0.0009491906907488357
2019-01-22,97019.77530400001,0.10524175478115128,-2.029608541671926,a,long_a_short_h,90078.4032,6.133971143218453e-05
2019-01-23,97649.32410400001,0.11838221637818958,-1.6205387677431051,a,long_a_short_h,88704.8544,0.006488870934068691
2019-01-24,97271.952904,0.11046337276761697,-1.8055547451436453,a,long_a_short_h,89454.2256,-0.003864555166793515
2019-01-25,96457.614904,0.0938496109290976,-2.216806567312744,a,long_a_short_h,90268.5636,-0.008371765711373103
2019-01-28,96427.211704,0.09322987646988778,-2.1766147420318176,a,long_a_short_h,90112.9668,-0.00031519750960318227
2019-01-29,97679.727304,0.11896342630581103,-1.4562276734990465,a,long_a_short_h,88860.45120000001,0.012989233825870805
2019-01-30,96992.952904,0.10479763523193975,-1.8041653648388023,a,long_a_short_h,89175.2256,-0.007030879579163929
2019-01-31,96455.824504,0.09382476368000736,-2.045916722578614,a,long_a_short_h,90642.35399999999,-0.005537808509981423
2019-02-01,96421.840504,0.09316870049515913,-2.019125783215831,a,long_a_short_h,91234.338,-0.0003523270904037812
2019-02-11,97423.96890400001,0.11341054642047932,-1.47194181491866,a,long_a_short_h,90232.2096,0.010393168132467157
2019-02-12,97232.01810400002,0.1093933847029307,-1.5430844019091243,a,long_a_short_h,91168.1604,-0.0019702625766472304
2019-02-13,97130.06610400001,0.10720084393466167,-1.567134171166553,a,long_a_short_h,92944.11240000001,-0.0010485434940881166
2019-02-14,96693.678904,0.09862957667152394,-1.7418322022905313,a,long_a_short_h,93008.49960000001,-0.004492812756173303
2019-02-15,96885.050104,0.10240529509341889,-1.6144089097985979,a,long_a_short_h,92073.12840000002,0.0019791490216232166
2019-02-18,96374.19477520001,0.09434366225973201,-1.7727164060940042,a,flat,0.0,-0.005272798313585181
2019-02-19,96374.19477520001,0.09133958103451123,-1.8065804291410585,a,flat,0.0,0.0
2019-02-20,96282.63685360001,0.07997395161303666,-2.035982459095927,a,long_a_short_h,90490.9608,-0.0009500252823234634
2019-02-21,95864.01445360002,0.07151584132835187,-2.1936921645287004,a,long_a_short_h,90189.58320000001,-0.0043478493493745995
2019-02-22,95930.9024536,0.07288723425662003,-2.1295289900467433,a,long_a_short_h,90842.69519999999,0.0006977383576229901
2019-02-25,98141.25925360002,0.11675195157843166,-1.0715306040333394,a,long_a_short_h,92232.33840000001,0.023041134227514526
2019-02-26,98368.02605360001,0.12171089204739505,-0.9448438947241367,a,long_a_short_h,91285.5716,0.0023106163679236236
2019-02-27,98696.64845360002,0.12818482563864708,-0.7749896057529486,a,long_a_short_h,91496.9492,0.0033407440728854265
2019-02-28,99107.00525360001,0.13667751430542774,-0.5452557211358575,a,long_a_short_h,91086.5924,0.004157758205871831
2019-03-01,99083.89325360002,0.13584259553598166,-0.5547358353166462,a,long_a_short_h,91649.7044,-0.00023320248594793647
2019-03-04,99002.1588536,0.13382384602027608,-0.5954729125783665,a,long_a_short_h,92271.4388,-0.0008249009734692114
2019-03-05,99228.54042400002,0.14069909921223878,-0.4007642141864788,a,flat,0.0,0.002286632665604582
2019-03-06,99228.54042400002,0.16680785406447574,0.30846565925558006,h,flat,0.0,0.0
2019-03-07,99228.54042400002,0.16411544654402643,0.2371992477491147,h,flat,0.0,0.0
2019-03-08,99228.54042400002,0.1296549375407945,-0.683742039661747,a,flat,0.0,0.0
2019-03-11,99228.54042400002,0.13928831968982647,-0.4176574552342457,a,flat,0.0,0.0
2019-03-12,99228.54042400002,0.13716313747947906,-0.4715400699046186,a,flat,0.0,0.0
2019-03-13,99228.54042400002,0.1344770673290121,-0.5383313423016494,a,flat,0.0,0.0
2019-03-14,99228.54042400002,0.10213105266727562,-1.382940060333001,a,flat,0.0,0.0
2019-03-15,99228.54042400002,0.08203367510974213,-1.8767197253047787,a,flat,0.0,0.0
2019-03-18,99228.54042400002,0.10439652637719754,-1.2622782541560758,a,flat,0.0,0.0
2019-03-19,99228.54042400002,0.11092314259524949,-1.0755436117895552,a,flat,0.0,0.0
2019-03-20,99228.54042400002,0.11097239535613967,-1.0587197641053565,a,flat,0.0,0.0
2019-03-21,99228.54042400002,0.10615245307946242,-1.1676813366824357,a,flat,0.0,0.0
2019-03-22,99228.54042400002,0.09441258381744277,-1.4488555931050842,a,flat,0.0,0.0
2019-03-25,99228.54042400002,0.1076733940680401,-1.0944525854761804,a,flat,0.0,0.0
2019-03-26,99228.54042400002,0.08229659537947343,-1.7063440123592235,a,flat,0.0,0.0
2019-03-27,99134.10911680001,0.05065159624050297,-2.422257473085717,a,long_a_short_h,93250.6536,-0.0009516547033394662
2019-03-28,98879.35391680001,0.04565523094451107,-2.4575779618491236,a,long_a_short_h,92761.4088,-0.0025698036959190818
2019-03-29,98508.98551680002,0.03856768064310434,-2.533774201991026,a,long_a_short_h,94619.7772,-0.003745659587456762
2019-04-01,98363.51671680002,0.03596947184966415,-2.5080206201430686,a,long_a_short_h,95881.246,-0.0014767058988257586
2019-04-02,98880.98551680002,0.045761956277131643,-2.229038549949229,a,long_a_short_h,94991.7772,0.005260779781693481
2019-04-03,99521.85271680001,0.05805929889802908,-1.9078751811880845,a,long_a_short_h,95280.91,0.006481197539147887
2019-04-04,100225.86431680001,0.07171641343663104,-1.5717387965405922,a,long_a_short_h,94576.8984,0.007073939851213851
2019-04-08,99038.76151680002,0.04884017156222864,-2.0326134505209685,a,long_a_short_h,96322.0012,-0.011844276006916954
2019-04-09,98349.40471680001,0.035804620268546694,-2.2608004484094013,a,long_a_short_h,96453.35800000001,-0.006960474762026103
2019-04-10,98422.13911680001,0.03707543288582693,-2.190886279351235,a,long_a_short_h,95822.62359999999,0.0007395509938208367
2019-04-11,98953.71991680001,0.04713832532343254,-1.9438401624611426,a,long_a_short_h,94361.0428,0.005401028719454581
2019-04-12,98729.36311680001,0.04284573619156351,-1.997077754627046,a,long_a_short_h,94957.3996,-0.002267290205852146
2019-04-15,98484.74071680002,0.03812763611292991,-2.0544468279336288,a,long_a_short_h,94830.022,-0.0024777066546108895
2019-04-16,98759.7615168,0.043525721498736125,-1.8956712394407043,a,long_a_short_h,96043.0012,0.0027925219480531283
2019-04-17,98656.62871680001,0.04151414860730873,-1.894714997917163,a,long_a_short_h,95588.13399999999,-0.0010442795569371999
2019-04-18,98759.91327280001,0.04530899552159462,-1.7733689963055475,a,flat,0.0,0.001046909440788557
2019-04-23,98759.91327280001,0.036649111805847845,-1.9110272004137825,a,flat,0.0,0.0
2019-04-24,98759.91327280001,0.04463945864559049,-1.7085309328477905,a,flat,0.0,0.0
2019-04-25,98665.23497520002,0.028101379391297865,-2.001103886714933,a,long_a_short_h,93123.0488,-0.000958671331944827
2019-04-26,98799.31417520002,0.03071018834816064,-1.905308317439241,a,long_a_short_h,91872.9696,0.0013589305294181564
2019-04-29,97863.60617520001,0.012242590318161328,-2.2290316898873797,a,long_a_short_h,92436.6776,-0.009470794486900247
2019-04-30,99397.85977520002,0.0427166299906474,-1.5874084738299892,a,long_a_short_h,91088.424,0.015677468468240585
2019-05-06,100950.40137520002,0.07522168365034387,-0.9190260564464797,a,long_a_short_h,88605.8824,0.015619467094273976
2019-05-07,99367.66297520002,0.04237498144057272,-1.5549024522796764,a,long_a_short_h,89444.6208,-0.015678376494190238
2019-05-08,99780.74217520002,0.051099806596030195,-1.3587578123638537,a,long_a_short_h,88473.5416,0.00415707874807425
2019-05-09,100423.80297520001,0.06497252259017738,-1.0611708300050948,a,long_a_short_h,87272.4808,0.006444738593654353
2019-05-10,100866.54537520002,0.0738644236670698,-0.8663070215451434,a,long_a_short_h,87945.7384,0.004408739630278102
2019-05-14,100977.83337520002,0.07683756454692525,-0.7919229892271589,a,long_a_short_h,86904.4504,0.0011033192381679768
2019-05-15,100831.17417520001,0.07321441287920538,-0.8522035872159232,a,long_a_short_h,87795.1096,-0.0014523900453980998
2019-05-16,100290.25737520002,0.061614917985170825,-1.0745606231727372,a,long_a_short_h,88522.0264,-0.0053645790047046615
2019-05-17,100308.54537520002,0.06250066501675478,-1.0388792946280443,a,long_a_short_h,87387.7384,0.0001823507136049507
2019-05-20,99687.74217520002,0.049204071431130814,-1.2914016247264017,a,long_a_short_h,88380.5416,-0.006188936323200611
2019-05-21,100494.54537520002,0.06630295096649319,-0.9228035047965888,a,long_a_short_h,87573.7384,0.008093303974946675
2019-05-22,100244.16161360002,0.06306594431959578,-0.9739257939176362,a,flat,0.0,-0.002491515939150535
2019-05-23,100244.16161360002,0.0787016021057867,-0.6366844017242528,a,flat,0.0,0.0
2019-05-24,100244.16161360002,0.07297092739680155,-0.7432915978106973,a,flat,0.0,0.0
2019-05-27,100244.16161360002,0.08120155586005584,-0.5574975058218925,a,flat,0.0,0.0
2019-05-28,100244.16161360002,0.0863017946802298,-0.43832704362452235,a,flat,0.0,0.0
2019-05-29,100244.16161360002,0.08374741077699466,-0.48078867335126035,a,flat,0.0,0.0
2019-05-30,100244.16161360002,0.08057927400820097,-0.5362307670385936,a,flat,0.0,0.0
2019-05-31,100244.16161360002,0.09274240698379388,-0.2620996780871081,a,flat,0.0,0.0
2019-06-03,100244.16161360002,0.0947063721896042,-0.2078168936031657,a,flat,0.0,0.0
2019-06-04,100244.16161360002,0.08632827492325013,-0.38076818547543567,a,flat,0.0,0.0
2019-06-05,100244.16161360002,0.0849873884071155,-0.3983816287557263,a,flat,0.0,0.0
2019-06-06,100244.16161360002,0.0900791221212971,-0.2749672936317625,a,flat,0.0,0.0
2019-06-10,100244.16161360002,0.05420053599871033,-1.0570760867534181,a,flat,0.0,0.0
2019-06-11,100244.16161360002,0.06714517997130476,-0.7571784230863229,a,flat,0.0,0.0
2019-06-12,100244.16161360002,0.07712557877290704,-0.5280421241849573,a,flat,0.0,0.0
2019-06-13,100244.16161360002,0.08512860273980705,-0.3464080764586951,a,flat,0.0,0.0
2019-06-14,100244.16161360002,0.07402719211790543,-0.583006245676008,a,flat,0.0,0.0
2019-06-17,100244.16161360002,0.06403568551871563,-0.7917042650090177,a,flat,0.0,0.0
2019-06-18,100244.16161360002,0.05222452459037097,-1.0368770033589352,a,flat,0.0,0.0
2019-06-19,100244.16161360002,0.02186547752877388,-1.6779917785634342,a,flat,0.0,0.0
2019-06-20,100244.16161360002,0.020190808335169397,-1.6808832649253103,a,flat,0.0,0.0
2019-06-21,100244.16161360002,0.004981212999651596,-1.9709381118964808,a,flat,0.0,0.0
2019-06-24,100244.16161360002,0.004246572259685388,-1.9408076691545528,a,flat,0.0,0.0
2019-06-25,100244.16161360002,0.00874800118706398,-1.8077485679195566,a,flat,0.0,0.0
2019-06-26,100244.16161360002,0.011446230306417338,-1.722290190864347,a,flat,0.0,0.0
2019-06-27,100244.16161360002,0.0003249986065037014,-1.939607256141363,a,flat,0.0,0.0
2019-06-28,100244.16161360002,0.004520855441750848,-1.829857227411477,a,flat,0.0,0.0
2019-07-02,100148.51582320001,-0.0074688105714781905,-2.0727353546098053,a,long_a_short_h,94640.8952,-0.0009541282889738989
2019-07-03,100507.96062320001,-0.00040835101029390586,-1.9030733935815813,a,long_a_short_h,93873.4504,0.0035891175924618324
2019-07-04,100922.5490232,0.00771878624831035,-1.7156982404393482,a,long_a_short_h,93662.86200000001,0.004124930974913177
2019-07-05,100616.5490232,0.0018074389852531514,-1.8234749023667596,a,long_a_short_h,93356.862,-0.0030320280547972978
2019-07-08,100677.14342320002,0.003396242066213029,-1.7557329532818673,a,long_a_short_h,91664.2676,0.0006022309509545742
2019-07-09,100683.73182320001,0.0036944457295904343,-1.7413513117702093,a,long_a_short_h,91045.67920000001,6.544087144289001e-05
2019-07-10,99814.28702320001,-0.013778491723045239,-2.1256760773560006,a,long_a_short_h,91303.12400000001,-0.008635404988034612
2019-07-11,98813.10622320001,-0.033644301451710934,-2.521544013202556,a,long_a_short_h,92304.3048,-0.01003043582094909
2019-07-12,98813.10622320001,-0.033644301451710934,-2.4481426612323234,a,long_a_short_h,92304.3048,0.0
2019-07-15,98421.66542320001,-0.04138436576191151,-2.541812868754044,a,long_a_short_h,92287.7456,-0.003961425917689554
2019-07-16,98632.25382320001,-0.03730328087863066,-2.374662456121209,a,long_a_short_h,91873.1572,0.0021396549133210208
2019-07-17,99179.13942320002,-0.026502604335759905,-2.082312819335095,a,long_a_short_h,90918.27160000001,0.005544693331050787
2019-07-18,99608.02702320002,-0.017806902361841903,-1.8522435931821977,a,long_a_short_h,89469.384,0.004324373073756327
2019-07-19,99061.14142320001,-0.028909032369150545,-2.0480660805220734,a,long_a_short_h,90424.2696,-0.005490376793354512
2019-07-22,98245.14142320001,-0.045576084854362264,-2.331262803036331,a,long_a_short_h,89608.2696,-0.00823733694440243
2019-07-23,97714.14468960001,-0.05434514817269931,-2.4355899275285626,a,flat,0.0,-0.005404814181219186
2019-07-24,97620.42467360002,-0.04264647572389735,-2.1382907077746114,a,long_a_short_h,92461.20800000001,-0.0009591243550021167
2019-07-25,97238.82707360003,-0.050152269912663305,-2.224043437603108,a,long_a_short_h,92842.8056,-0.003908993443491826
2019-07-26,98087.11027360002,-0.03349064070147656,-1.848524013495232,a,long_a_short_h,93054.5224,0.00872370868231398
2019-07-29,98468.70787360003,-0.0259275091798159,-1.664098589431198,a,long_a_short_h,92672.92480000001,0.0038903949656137193
2019-07-30,98214.30947360002,-0.030977285433209545,-1.7257689918926187,a,long_a_short_h,92927.32320000001,-0.0025835456308268556
2019-07-31,98574.99107360002,-0.02371521323995185,-1.554357224890587,a,long_a_short_h,92142.6416,0.0036723935843274713
2019-08-01,98532.58867360001,-0.024373646788363068,-1.5357686094772933,a,long_a_short_h,91337.044,-0.00043015372903609794
2019-08-02,98935.66467360001,-0.015385341916281714,-1.3396775391563678,a,long_a_short_h,88813.968,0.004090788696674119
2019-08-05,99508.34227360002,-0.0025283521477188486,-1.078050630146915,a,long_a_short_h,86969.2904,0.005788383813757569
2019-08-06,98617.94387360002,-0.02112410692874489,-1.4048380689353508,a,long_a_short_h,86587.6888,-0.008947977422353537
2019-08-07,99317.54147360002,-0.0062958720898125264,-1.1058062576588603,a,long_a_short_h,86524.0912,0.007094019328740986
2019-08-08,99232.74067360001,-0.007901643236486455,-1.1170633377516024,a,long_a_short_h,86184.89199999999,-0.0008538350702383957
2019-08-09,99614.33827360002,0.0004663811252820782,-0.9439405538184323,a,long_a_short_h,85803.29439999998,0.003845480810160895
2019-08-12,99974.73667360003,0.008283128552985408,-0.7828972856609987,a,long_a_short_h,85654.89600000001,0.0036179369982876075
2019-08-13,100313.93187360003,0.01660407121967089,-0.613601680491935,a,long_a_short_h,84467.70079999999,0.003392809136446351
2019-08-14,100167.98784320001,0.015170882044572842,-0.6288895236274007,a,flat,0.0,-0.0014548729939517502
2019-08-15,100167.98784320001,0.01865047158148525,-0.5513300558743386,a,flat,0.0,0.0
2019-08-16,100167.98784320001,0.015743315761099552,-0.5953418609025496,a,flat,0.0,0.0
2019-08-19,100167.98784320001,0.023204755251022835,-0.44309023636558753,a,flat,0.0,0.0
2019-08-20,100167.98784320001,0.013947888963420585,-0.6097285005423722,a,flat,0.0,0.0
2019-08-21,100167.98784320001,0.013185973762424252,-0.6146496177649939,a,flat,0.0,0.0
2019-08-22,100167.98784320001,0.015932370473761948,-0.552999830508445,a,flat,0.0,0.0
2019-08-23,100167.98784320001,0.014394125568867988,-0.5698997220870936,a,flat,0.0,0.0
2019-08-26,100167.98784320001,0.04385837894230349,0.009724333970529936,h,flat,0.0,0.0
2019-08-27,100167.98784320001,0.04831272929168384,0.11047933757022353,h,flat,0.0,0.0
2019-08-28,100167.98784320001,0.04079332792465551,-0.021940816195668584,a,flat,0.0,0.0
